artist,bio,source,url
J. Cole,"Jermaine Lamarr Cole is an American rapper, singer, songwriter and record producer. Born on a military base in Germany and raised in Fayetteville, North Carolina, Cole initially gained attention as a rapper following the release of his debut mixtape, The Come Up, in early 2007. Intent on further pursuing a musical career, he signed with Jay-Z's Roc Nation in 2009 and released two additional mixtapes: The Warm Up (2009) and Friday Night Lights (2010) to further critical acclaim as he garnered a wider following.",wikipedia,https://en.wikipedia.org/wiki/J._Cole
Lost Frequencies,"Felix De Laet, known by his stage name Lost Frequencies, is a Belgian DJ and record producer. He is best known for his singles ""Are You with Me"" in 2014, ""Reality"" featuring Janieck Devy in 2015, and ""Where Are You Now"" with Calum Scott in 2021.",wikipedia,https://en.wikipedia.org/wiki/Lost_Frequencies
The Kid LAROI,"Charlton Kenneth Jeffrey Howard, known professionally as the Kid Laroi, is an Australian singer, rapper, and songwriter. He was signed with American rapper Lil Bibby's Grade A Productions, in a joint venture with Columbia Records, in 2019. He is best known for his 2021 single ""Stay"", which peaked atop the charts in numerous countries including his native Australia, as well as the Canadian Hot 100 and Billboard Hot 100.",wikipedia,https://en.wikipedia.org/wiki/The_Kid_Laroi
Olivia Rodrigo,"Olivia Isabel Rodrigo is an American singer-songwriter and actress. She began her career as a child, appearing in commercials and the direct-to-video film An American Girl: Grace Stirs Up Success (2015). She rose to prominence with her leading roles in the Disney Channel series Bizaardvark (2016–2019) and the Disney+ series High School Musical: The Musical: The Series (2019–2022).",wikipedia,https://en.wikipedia.org/wiki/Olivia_Rodrigo
Lewis Capaldi,"Lewis Marc Capaldi is a Scottish singer-songwriter and musician. In March 2019, his single ""Someone You Loved"" (2018) topped the UK Singles Chart where it remained for seven weeks, and in November 2019, it reached number one on the US Billboard Hot 100; it was nominated at the 62nd Annual Grammy Awards for Song of the Year and won the 2020 Brit Award for Song of the Year. ""Someone You Loved"" was the bestselling single of 2019 in the UK. He was nominated for the Critics' Choice Award at the 2019 Brit Awards. Capaldi also won the 2020 Brit Award for Best New Artist. In May 2020, it was announced that Capaldi's song ""Someone You Loved"" had become the longest-running top 10 UK single of all time by a British artist.",wikipedia,https://en.wikipedia.org/wiki/Lewis_Capaldi
Yung Gravy,"Matt Hauri, more commonly known as Yung Gravy is an American rapper who became popular for his abstract lyrics, often sexualizing food or putting food in sexual scenarios. As his image grew, he became recognised for his love of mothers. Yung Gravy is a graduate from the University of Wisconsin, and broke out on the internet from his smash hit “Mr. Clean”, sampling the classic song Mr. Sandman. He has become a nationwide star, selling out concerts all over the United States and racking up hundreds of thousands of followers on social media. Yung Gravy is friends with other rappers in the scene such as bbno$, Roy Purdy, DBangz, Caleon Fox, Ugly God, and many others, as his interesting and eye catching lyrics synchronize well with his unique beat selection. Some of Gravy’s nicknames include “Yung Steve Nash” and “Yung Steve Harvey”, and Gravy has made a staple in the “meme rap” era, and has become a bonafide star that has some of the most loyal fans in all of rap, dubbed the “Gravy Train” His album artwork also has an early 20th century type aesthetic, impersonating a drawing style from that era.",lastfm,https://www.last.fm/music/Yung%2BGravy/+wiki
Imanbek,"Imanbek Maratuly Zeikenov, known professionally as Imanbek, is a Kazakh DJ and record producer. In 2019, he became known for his remix of Saint Jhn's ""Roses"". In 2021, Imanbek won a Grammy for his remix of ""Roses"", becoming the first Grammy recipient from Kazakhstan, and the first Grammy award winner in a non-classical category from within the CIS.",wikipedia,https://en.wikipedia.org/wiki/Imanbek
Tainy,"Marco Efraín Masís Fernández, known professionally as Tainy, is a Puerto Rican record producer, songwriter and recording engineer. Born and raised in San Juan, Puerto Rico, he entered the world of reggaeton with his work on Mas Flow 2 by Luny Tunes. A repeated Grammy and BMI Award winner, Tainy has produced for artists including Wisin & Yandel, Janet Jackson, and Jennifer Lopez. His debut EP, Neon16 Tape: The Kids That Grew Up on Reggaeton (2020), consists of tracks with several other artists.",wikipedia,https://en.wikipedia.org/wiki/Tainy
benny blanco,"Benjamin Joseph Levin, known professionally as Benny Blanco, is an American record producer. He is the recipient of the 2013 Hal David Starlight Award from the Songwriters Hall of Fame. Blanco has also won five BMI Songwriter of the Year Awards, won the 2017 iHeartRadio Producer of the Year Award, and received eleven Grammy Award nominations.",wikipedia,https://en.wikipedia.org/wiki/Benny_Blanco
Conan Gray,"Conan Lee Gray is an American singer, songwriter and former YouTuber. He was born in Lemon Grove, California, and raised in Georgetown, Texas, where he began uploading vlogs, covers, and original songs to YouTube as a teenager. In 2018, Gray signed a record deal with Republic Records, which released his debut EP, Sunset Season (2018).",wikipedia,https://en.wikipedia.org/wiki/Conan_Gray
Chris Brown,"Christopher Maurice Brown is an American singer, songwriter, dancer and actor. A pop and hip-hop influenced R&B musician who works in a variety of genres, he has been called the ""King of R&B"" by some contemporaries. His lyrics often address emotional and hedonistic themes. His singing and dancing skills have often been compared favorably to those of Michael Jackson.",wikipedia,https://en.wikipedia.org/wiki/Chris_Brown
Benson Boone,"Benson James Boone is an American singer–songwriter. He began his music career by briefly competing on American Idol in early 2021 before withdrawing voluntarily. He gained popularity on TikTok and subsequently signed a contract with Dan Reynolds's Night Street Records label and released the singles ""Ghost Town"" in 2021 and ""In the Stars"" in 2022.",wikipedia,https://en.wikipedia.org/wiki/Benson_Boone
Eminem,"Marshall Bruce Mathers III, known professionally as Eminem, is an American rapper, songwriter, record producer, and record executive. Widely regarded as one of the greatest and most influential rappers of all time, he is often credited with popularizing hip-hop in Middle America and the acceptance of white rappers. While much of his transgressive art during the late 1990s and early 2000s made him a controversial figure, Eminem has become a representation of popular angst in lower-income America and is noted for his conscious rap—including political criticism and social commentary—and rap flow.",wikipedia,https://en.wikipedia.org/wiki/Eminem
Justin Bieber,"Justin Drew Bieber is a Canadian singer. Regarded as a prominent figure in contemporary popular music, he rose to fame in the late 2000s with his debut extended play, My World (2009), receiving international recognition and establishing himself as a teen idol.",wikipedia,https://en.wikipedia.org/wiki/Justin_Bieber
Alesso,"Alessandro Renato Rodolfo Lindblad, better known by his stage name Alesso, is a Swedish DJ and record producer.",wikipedia,https://en.wikipedia.org/wiki/Alesso
James Arthur,"James Andrew Arthur is an English singer and songwriter. He rose to fame after winning the ninth series of The X Factor in 2012. His debut single, a cover of Shontelle's ""Impossible"", was released by Syco Music after the final, and debuted at number 1 on the UK Singles Chart. Since then, it has gone on to sell over 2.5 million copies worldwide, making it the most successful winner's single in the show's history.",wikipedia,https://en.wikipedia.org/wiki/James_Arthur
Gesaffelstein,"Mike Lévy, known professionally as Gesaffelstein, is a French music programmer, DJ, songwriter and producer from Lyon. He is best known for the single ""Lost in the Fire"" with The Weeknd. Often called the ""Dark Prince of Techno"", he has worked alongside artists such as Lady Gaga, Daft Punk, Kanye West, A$AP Rocky, the Hacker, Lil Nas X, Charli XCX and Pharrell Williams. At the 68th Annual Grammy Awards, he won the Grammy Award for Best Remixed Recording, Non-Classical for his remix of Gaga's ""Abracadabra"".",wikipedia,https://en.wikipedia.org/wiki/Gesaffelstein
Piso 21,"Piso 21 is a Colombian Latin pop group. Their singles ""Me Llamas"", ""Besándote"" and ""Déjala Que Vuelva"" were hits in their home country, Latin America and Spain.",wikipedia,https://en.wikipedia.org/wiki/Piso_21
Camila Cabello,"Karla Camila Cabello Estrabao is an American singer and songwriter. She rose to prominence as a member of the pop girl group Fifth Harmony, one of the best-selling girl groups of all time. While in the group, Cabello established herself as a solo artist with collaborative singles ""I Know What You Did Last Summer"" and ""Bad Things"", the latter making number four on the US Billboard Hot 100. She left Fifth Harmony in late 2016.",wikipedia,https://en.wikipedia.org/wiki/Camila_Cabello
Lil Nas X,"Montero Lamar Hill, better known by his stage name Lil Nas X, is an American rapper, singer and songwriter. He rose to prominence with the release of his 2018 country rap single ""Old Town Road"", which spent a then-record 19 weeks atop the U.S. Billboard Hot 100 chart. Simultaneously, he came out as gay, the first artist to do so while having a number-one record.",wikipedia,https://en.wikipedia.org/wiki/Lil_Nas_X
Marshmello,"Christopher Comstock, known professionally as Marshmello and formerly as Dotcom, is an American DJ and record producer. His songs ""Silence"", ""Wolves"", ""Friends"", ""Happier"", and ""Alone"" have each received multi-platinum certifications in several countries, and peaked within the top 40 of the Billboard Hot 100. His musical style includes groove-oriented, synth and bass-heavy electronic dance music.",wikipedia,https://en.wikipedia.org/wiki/Marshmello
The Chainsmokers,"The Chainsmokers are an American electronic DJ and production duo consisting of Alex Pall and Drew Taggart. They started out by releasing remixes of songs by indie artists. The EDM-pop duo achieved a breakthrough with their 2014 song ""#Selfie"", which became a top-twenty single in several countries. They have won a Grammy Award, two American Music Awards, seven Billboard Music Awards and nine iHeartRadio Music Awards. According to Forbes' 2019 list of highest-paid celebrities, the Chainsmokers were the highest-paid DJs, dethroning Calvin Harris after six years.",wikipedia,https://en.wikipedia.org/wiki/The_Chainsmokers
Yot Club,"John Ryan Kaiser, known professionally as Yot Club, is an American singer-songwriter and producer from Mississippi. He is best known for his single ""YKWIM?"", which was certified platinum by the Recording Industry Association of America in November 2022.",wikipedia,https://en.wikipedia.org/wiki/Yot_Club
IVE,"IVE (Hangul: ; Katakana: ) is a six-member South Korean girl group formed by . The group is composed of members: YUJIN ( ), ( ), REI ( ), ( ), LIZ ( ) and ( ). The group's name, IVE, is a contraction for ""I have"". It refers to the idea of showing what ""I have"" to the audience with confidence, where instead of telling the story of growth, the group intends to portray a ""complete girl group"" from the start. IVE was teased for the first time on November 9, 2021, with a short video revealing the group at first sight. Their debut was anticipated due to the public reputation of WONYOUNG and YUJIN, who were members of the popular girl group . IVE debuted on December 1st, 2021 with the single album with the title track as the lead single. It became one of the most successful girl group debuts, earning 45 million views on YouTube in under just a few days. The song also peaked at #2 on South Korean Gaon charts and #16 on Japan’s Hot 100. The group got their first music show win on December 8th, 2021, 7 days after their debut. On April 5, 2022, IVE made their first comeback with their second single album and title track . The single album out-performed , with 120,000 copies sold in under one day of the albums pre-release on stores. helped IVE gain more recognition and went on to receive several accolades, including the prestigious Song of the Year award at the MAMA Awards and the MelOn Music Awards in 2022. On August 22, 2022, IVE returned with their third single album and the title single . The song was another hit, selling 1.7 million albums overall, and sampled "" "" by . On January 16, 2023, IVE released their second Japanese single , a re-recording of their Korean single of the same name. From February 11 to 24, 2023, IVE embarked on the first leg of their first solo tour, The Prom Queens, which visited Seoul, Yokohama, and Kobe in six sold-out dates. On March 24, 2023, it was announced that the group had signed with for promotion in United States as part of Kakao Entertainment, the parent company of , partnership with the label. On April 10, 2023, their first full album titled was released, alongside the single . The song ascended to number one on the Circle Digital Chart, and became their third song to achieve a Perfect all-kill on Korean music charts in 2023 making the first group album to have two songs with Perfect all-kill since in 2011. On May 9, 2023, pre-released "" "", the lead single of their upcoming Japanese album . On July 13, 2023, released their promotional single, titled "" "" in collaboration with PEPSI. On October 13, 2023, released their first Korean-language extended play titled , along with the singles - "" "", "" "" and "" "". All three singles charted within the top 15 of Circle Digital Chart, with ""Baddie"" peaking at number 1 and becoming the group's fourth single to achieve a Perfect all-kill on Korean music charts. On January 19, 2024, released their first English-language digital single "" All Night "", featuring . The track is a remix of ""All Night"" by Swedish synth-pop duo Icona Pop. On April 12, 2024, they released the track "" "" as the new opening theme song for Pokémon Horizons. On April 29, 2024, would be releasing their second extended play and the singles and . On June 28, Ive released their second promotional single for PEPSI titled "" "". On August 28, 2024, released their second Japanese extended play . On November 8, the group released the single "" Supernova Love "" in collaboration with French DJ and record producer . On February 3, 2025, released their third extended play , along with the two singles: "" "", which was pre-released on January 13, and "" "". Both singles charted within the top 10 of Circle Digital Chart, with peaking at number 1 and becoming the group's fifth single to achieve a perfect all-kill on Korean music charts. The album itself also peaked at number 1 of Circle Album Chart making it their sixth album to reach number one and their fifth album to reach a million copies. On April 21, 2025, released their first Japanese-language soundtrack "" "" as the opening song for the Nippon TV drama Damemane! - We'll Manage a Useless Talent. On July 30, 2025, their third Japanese extended play was released, along with the lead single . On July 23, announced that IVE was in the preparations stage for their Korean comeback, which is slated for a late-August release. Later, on July 31, announced their fourth EP, titled "" "", will be released on August 25. Their lyrics often explore introspective themes of identity, self-perception, and self-love. Through tracks like ""Either Way"" and ""MY SATISFACTION,"" they confront the complexities of personal growth and empowerment. Additionally, they touch upon relatable themes of insecurity and self-discovery. Since the group's debut they have won various awards, including four MAMA Awards, seven MelOn Music Awards, five Golden Disc Awards, six Circle Chart Music Awards, two Seoul Music Awards, and MTV Video Music Awards Japan. IVE has won Rookie of the Year, Best Female Group, and Song of the Year on various award shows. - ———— Other bands that have performed under the name IVE (or ""Ive"") include: 2) eurodance artist 3) Japanese visual kei artist. 4) US Rapper 5) German rapper 6) Ivan Lins - Joana dos Barcos",lastfm,https://www.last.fm/music/IVE/+wiki
Maroon 5,"Maroon 5 is an American pop rock band formed in Los Angeles, California. It consists of lead vocalist and guitarist Adam Levine, rhythm guitarist and keyboardist Jesse Carmichael, lead guitarist James Valentine, drummer Matt Flynn, keyboardist PJ Morton, and bassist and keyboardist Sam Farrar. Original members Levine, Carmichael, bassist Mickey Madden, and drummer Ryan Dusick first came together as Kara's Flowers in February 1994, while they were in high school.",wikipedia,https://en.wikipedia.org/wiki/Maroon_5
Lady Gaga,"Stefani Joanne Angelina Germanotta, known professionally as Lady Gaga, is an American singer, songwriter, and actress. Known for her image reinventions and versatility across the entertainment industry, she is an influential figure in popular music. With estimated sales of 124 million records, she is one of the best-selling music artists of all time. Publications such as Billboard and Rolling Stone have ranked her among the greatest artists in history.",wikipedia,https://en.wikipedia.org/wiki/Lady_Gaga
Doja Cat,"Amala Ratna Zandile Dlamini, known professionally as Doja Cat, is an American rapper, singer, songwriter, and record producer. Regarded as the ""Queen of Pop-Rap"", she is known for her musical versatility, live performing skills and humorous internet presence. Billboard named her ""one of the world's biggest pop stars"" and ""one of the defining pop stars of this era"", and Time listed her as one of the world's most influential people in 2023.",wikipedia,https://en.wikipedia.org/wiki/Doja_Cat
Zion & Lennox,"Zion & Lennox was a Puerto Rican music duo from Carolina, Puerto Rico. In 2004, Zion & Lennox released their first studio album titled Motivando a la Yal under White Lion Records. After their first album, Zion & Lennox decided to start their own label, Baby Records Inc. The duo was made up of Félix Ortiz (Zion) and Gabriel Pizarro (Lennox).",wikipedia,https://en.wikipedia.org/wiki/Zion_%26_Lennox
Tate McRae,"Tate Rosner McRae is a Canadian singer, songwriter, and dancer. She first gained prominence as a contestant on the American reality television series So You Think You Can Dance in 2016. She signed with RCA Records and gained early recognition for her extended plays (EPs) All the Things I Never Said (2020) and Too Young to Be Sad (2021); the latter became the most streamed female EP of 2021 on Spotify and was preceded by the single ""You Broke Me First"", her first US Billboard Hot 100 entry.",wikipedia,https://en.wikipedia.org/wiki/Tate_McRae
Alok,"Alok Achkar Peres Petrillo (born August 26, 1991) is a Brazilian musician, DJ and record producer. He is known for his single "" "". In 2021, Alok was ranked the 4th best DJ in the world by DJ Mag, being the highest position occupied by a Brazilian. Alok has become one of the most prominent icons in the Brazilian electronic scene, with honors and awards, such as ""Best DJ in Brazil"" by House Mag in 2014 and 2015, and being the only Brazilian in the top 25 in the world the following year by DJ Mag magazine. In 2017, he was elected by Forbes Brasil as one of the most influential people under the age of 30 in the country. In July 2019, he launched Controversia Records, a sublabel of Spinnin' Records.",lastfm,https://www.last.fm/music/Alok/+wiki
Giveon,"Giveon Dezmann Evans, mononymously known as Giveon, is an American R&B singer and songwriter. 
He rose to prominence with his 2019 song ""Like I Want You"", which peaked at number 87 on the Billboard Hot 100. In 2020, Giveon signed with Epic Records to release two extended plays: the Grammy Award-nominated Take Time and When It's All Said and Done; the former was preceded by the single ""Heartbreak Anniversary"", which peaked at number 16 on the chart and received quintuple platinum certification by the Recording Industry Association of America (RIAA).",wikipedia,https://en.wikipedia.org/wiki/Giveon
Måneskin,"Måneskin are an Italian rock band formed in Rome in 2016.
The band is composed of lead vocalist Damiano David, bassist Victoria De Angelis, guitarist Thomas Raggi, and drummer Ethan Torchio. Performing in the streets in their early days, Måneskin rose to prominence after coming in second in the eleventh season of the Italian version of X Factor in 2017, where they were coached by Manuel Agnelli. Their international breakthrough occurred when the foursome won the Eurovision Song Contest 2021 for Italy, after also winning the Sanremo Music Festival, with the song ""Zitti e buoni"".",wikipedia,https://en.wikipedia.org/wiki/M%C3%A5neskin
Foster The People,"Foster the People is an American indie pop band formed in Los Angeles, California, in 2009. Its members include founder and frontman Mark Foster and keyboardist Isom Innis.",wikipedia,https://en.wikipedia.org/wiki/Foster_the_People
Kendrick Lamar,"Kendrick Lamar Duckworth is an American rapper, songwriter, and record producer. Rooted in West Coast hip-hop, his music features conscious, introspective lyrics, with political criticism and social commentary concerning African-American culture. Music journalists have listed Lamar among the greatest rappers of all time. In 2018, he became the first musician outside of the classical and jazz genres to receive the Pulitzer Prize for Music.",wikipedia,https://en.wikipedia.org/wiki/Kendrick_Lamar
Morgan Wallen,"Morgan Cole Wallen is an American country and country pop singer from Sneedville, Tennessee. In 2014, he competed in the sixth season of The Voice. After being eliminated in the playoffs, he signed to Panacea Records and released his debut extended play Stand Alone (2015). Later in 2016, Wallen signed to Big Loud to release his second extended play The Way I Talk (2016). His debut studio album If I Know Me (2018) included four singles: ""The Way I Talk"", ""Up Down"", ""Whiskey Glasses"", and ""Chasin' You"". If I Know Me, after a record-breaking 114 weeks on the Billboard Top Country Albums chart, reached No. 1.",wikipedia,https://en.wikipedia.org/wiki/Morgan_Wallen
Ariana Grande,"Ariana Grande-Butera is an American singer, songwriter, and actress. Known for her four-octave vocal range, which extends into the whistle register, she is an influential figure in popular music. Publications such as Rolling Stone and Billboard have deemed Grande one of the greatest artists in history, while Time included her on its list of the world's 100 most influential people in 2016 and 2019.",wikipedia,https://en.wikipedia.org/wiki/Ariana_Grande
One Direction,"One Direction, often shortened to 1D, were an English–Irish pop boy band formed in London in 2010. The group consisted of Niall Horan, Liam Payne, Harry Styles, Louis Tomlinson and Zayn Malik. The group sold over 70 million records worldwide, making them one of the best-selling boy bands of all time, before going on an indefinite hiatus in 2016.",wikipedia,https://en.wikipedia.org/wiki/One_Direction
Jax Jones,"Timucin Lam, known professionally as Jax Jones, is an English DJ and record producer. He rose to prominence in 2014 by featuring on Duke Dumont's number-one single ""I Got U"". He followed this with his own singles, ""You Don't Know Me"" featuring Raye in 2016, and ""Instruction"" featuring Demi Lovato and Stefflon Don in 2017. Jax's debut studio album, Snacks (Supersize) was released in 2019.",wikipedia,https://en.wikipedia.org/wiki/Jax_Jones
50 Cent,"Curtis James Jackson III, known professionally as 50 Cent, is an American rapper, actor, television producer, record executive, and businessman. Born in Queens, a borough of New York City, Jackson began pursuing a musical career in 1996. In 1999–2000, he recorded his debut album, Power of the Dollar, for Columbia Records. During a shooting in May 2000, he was struck by nine bullets, causing its release to be canceled and Jackson to be dropped from the label. His 2002 mixtape Guess Who's Back? was discovered by Detroit rapper Eminem, who signed Jackson to his label Shady Records that year.",wikipedia,https://en.wikipedia.org/wiki/50_Cent
Capital Cities,"Capital Cities is an American pop duo from Los Angeles, California, formed in 2008 by Ryan Merchant and Sebu Simonian. Their debut EP was released on June 7, 2011, with lead single ""Safe and Sound"" which became their only top ten hit single.",wikipedia,https://en.wikipedia.org/wiki/Capital_Cities_(duo)
